permutation,delta_mae
329,0.013974933796417233
330,0.21731770867735012
331,-0.600163386687532
332,-1.4508795099705694
333,-0.2762393220871955
334,0.7245933487384031
335,-0.9830145153442675
336,-0.8666977087706975
337,-4.167451508753185
338,0.7957376368840716
339,-0.8749373862775869
340,1.6632074354460258
341,0.23964741797276012
342,-2.626883708518047
343,-1.6283596904158149
344,-0.3665013429063313
345,-0.7924084202058754
346,-0.8404421888389422
347,-0.04633544067303319
348,-0.23004349410381764
349,0.6517390086238084
350,-0.920819220567406
351,-0.9975262225044954
352,0.052331041220007535
353,-4.0112544383715925
354,-3.194532257319638
355,-0.37773347897360754
356,-1.2157455657891418
357,0.27999638243646974
358,-1.690637667583971
359,0.8453734915940068
360,0.19935343644790748
361,-1.3924896067913828
362,1.3145298332654258
363,-1.0882210407959825
364,-1.6556214948295374
365,-2.126815458717486
366,0.6110480025152452
367,0.5911597994461539
368,-0.07802468577166444
369,-3.1654867965548448
370,0.3002385315818179
371,-2.514674374891854
372,-1.7154393149734606
373,-0.1733780888413916
374,-1.7218615281159515
375,0.05424460086591765
376,-0.7572423037407265
377,-0.2353448225985364
378,0.003626512379661051
379,0.43673912921327673
380,-0.3534419563137261
381,-0.22541768569378107
382,-0.1554078577251916
383,-0.1285201490932879
384,-1.132453313090787
385,0.03877207801420379
386,-0.08452636134676883
387,-0.8968110177406956
388,-0.2232463304639598
389,0.03667502407360601
390,-2.072215316495054
391,-0.0023986652095642214
392,-1.9174523317608898
393,-1.0778576885814157
394,-1.2674956978374876
395,-1.3363506183159437
396,-0.005377930832306532
397,1.3418878751365133
398,-0.6194217775259698
399,-0.36979077528145954
400,0.8848006306457057
401,-3.2646039444660193
402,-1.2550977775256857
403,-1.067266004437771
404,-3.0029839930044826
405,-1.465083099283122
406,-0.5145187923502048
407,-0.5311770608170088
408,0.1416488903256079
409,-3.7307350905174737
410,0.4666481258035393
411,-0.9491240185365619
412,-0.2946364480766217
413,-2.1706487454587933
414,-1.2372559185921403
415,-2.110141581998205
416,0.1867343383073523
417,0.8879754176037125
418,0.4550726427908245
419,-2.8307980355017914
420,0.7832847235604596
421,0.5184254519817344
422,0.7188097214722422
423,-2.6484803382297866
424,-1.2338201959707327
425,-7.237023353874971
426,1.2315325755562379
427,-0.08219636966313892
428,-0.8858223882094833
429,-4.731662319460623
430,-0.9970334958756997
431,-4.356763492184896
432,-3.4578867211646376
433,-2.027740268762848
434,0.3981650127156069
435,0.8166181397445227
436,-0.3936693854742481
437,-1.2340197524110472
438,-1.1063686563666195
439,-0.37353733748659756
440,0.11456527340887046
441,-0.04202095271017381
442,-0.2943786400349806
443,-1.5383307250890645
444,-0.41155417717471465
445,0.22339796703325643
446,-1.2982984982140469
447,-1.6596944359502128
448,-1.3005115249153736
449,-0.06456077314591102
450,-0.5391151985202214
451,-2.2121063113763864
452,1.4277216889271163
453,0.0236838287977843
454,-0.18062557403538637
455,0.5221870712188057
456,-2.0016210119891173
457,-5.747383919385431
458,-0.31368200500877563
459,-0.5641653130353044
460,-1.1404419662080016
461,0.1580293231147607
462,-1.346305725060624
463,0.1794085073146272
464,-5.213913266908818
465,-1.1812502376795901
466,-0.5836723930160117
467,-2.573990792990232
468,-1.7527551327852198
469,-3.5416806985823897
470,0.7940757613375613
471,-0.43411745316179573
472,-0.5678493464461036
473,0.35416025344621893
474,-0.47868018962031744
475,-5.452950891894842
476,0.26464519348569926
477,-0.7183350694987567
478,-2.35299858744607
479,0.09040824164392536
480,-1.7401266688288164
481,-1.8062031203158568
482,0.3695663399236375
483,0.08782903450719104
484,-0.8358562303544428
485,-1.6759740937903889
486,-0.4589420446223835
487,-1.37332899251874
488,-0.8055997115952618
489,-0.8111089670167111
490,0.5417447992617941
491,-0.508408996201049
492,0.43620161798770507
493,-1.5786402114343154
494,0.6408167999931393
495,-2.4432448781377207
496,-1.493988974857288
497,-0.20064889213960502
498,-1.1070502046252493
499,-0.062380140526824945
500,-0.19571673109970789
501,-1.2780610146666511
502,-0.31008662855474345
503,0.8487050706201806
504,-0.8088008531362085
505,-0.4568324851373866
506,-2.0213976778067746
507,-2.266485518249315
508,0.14523969767798572
509,0.14351228353489986
510,-0.6755960663751059
511,-0.026684331114700477
512,0.6544086997314
513,-5.57069650532218
514,-1.7759201974515086
515,-0.060011085285776034
516,0.5021230721322212
517,0.2158852147852528
518,-1.39805064413631
519,-1.0205756569631337
520,0.007592087508802692
521,-0.2652064476115079
522,-1.1154634475796215
523,-0.0954499580835666
524,-2.07775276770246
525,0.7884901219432541
526,-3.0331165355567595
527,0.41120965499760675
528,-0.06983376896294224
529,-1.3946097925027292
530,0.680758840321146
531,-0.8053080751215926
532,-0.7920993046500175
533,-0.763732415375264
534,-2.464648471999535
535,-0.4118585508182395
536,0.21247664928636034
537,-4.68983652248113
538,0.4646196182238471
539,-0.32668882609914096
540,0.44605615566447554
541,0.1297381276716303
542,-0.5284042714689665
543,-5.287702819271457
544,0.2840055570667088
545,-0.37384483870231744
546,-0.06917868011736594
547,-0.8417095460118489
548,-2.976043894922647
549,-1.0122307791050815
550,-1.3942559192804858
551,-1.3845658658332933
552,-1.0859715660799356
553,-1.7752701198226948
554,-1.1673556981227406
555,0.20714546948015755
556,-0.6233767128871897
557,-0.06166276848860708
558,0.2094693354872872
559,-0.12417151775000779
560,-0.039854486494688146
561,-0.9449357713846656
562,-0.5503022341650938
563,0.3879622351554106
564,-2.1240558379316283
565,-2.6543996762020825
566,0.0238393493590916
567,-0.5150126382901874
568,0.3361835477788233
569,-0.07700538231286025
570,-3.858392471859526
571,0.5439477119320308
572,-0.4087627177466553
573,0.8842952891516616
574,0.40019199257228255
575,-0.7681645994601283
576,0.2916491519669355
577,1.6674636020724485
578,-0.16880953351031636
579,-1.8624907739931604
580,-0.048515784312266774
581,-0.9621595294384075
582,-0.23973318874916671
583,0.020953444250269904
584,-1.4752995248870082
585,0.3229040428742538
586,0.3281434803761316
587,-4.172778240263225
588,-1.2192606555953844
589,-4.398916308835883
590,-1.5391019589564348
591,-0.8319785456724382
592,0.5898093804482647
593,-0.13506476424495606
594,-1.2860391620562908
595,-0.16638514253606473
596,-4.961033850100074
597,-1.2235028539227972
598,-1.414656015916135
599,-0.46011602813000074
600,-0.5703835056323738
601,-0.06299124193230199
602,1.605143150042549
603,-0.12871417029773458
604,-1.938640322967835
605,-0.892356289379272
606,0.16556894449976678
607,-2.9234246523884053
608,-0.5289293064295082
609,-0.24206837183247387
610,-1.9645739369654418
611,-1.839802553660931
612,-0.9435144364414576
613,-1.7401826364500828
614,-0.7206785756448122
615,-0.3071166945405448
616,-1.9708387170090216
617,-1.554640760559744
618,-0.0032266917348886537
619,0.06324154513433289
620,-1.632893561347652
621,-0.5979860618624482
622,-4.020916503036565
623,-0.6515261515652373
624,0.08436347368142716
625,1.2082835806541556
626,-2.9152609906036435
627,-0.15141309554183913
628,1.4296250515291655
629,-1.4976768242084493
630,-1.0950981024887518
631,0.5236704496918207
